Time [us],Protocol,Packet Length (Layer 3) [Byte]
23802377,IEC 60870-5 ASDU,252
23902387,IEC 60870-5 ASDU,292
23902388,IEC 60870-5 ASDU,252
24002103,IEC 60870-5 ASDU,292
24002103,IEC 60870-5 ASDU,252
24044600,TCP,46
24102569,IEC 60870-5 ASDU,292
24102569,IEC 60870-5 ASDU,252
24202256,IEC 60870-5 ASDU,292
24202258,IEC 60870-5 ASDU,252
24302459,IEC 60870-5 ASDU,292
24302460,IEC 60870-5 ASDU,252
24402561,IEC 60870-5 ASDU,292
24402562,IEC 60870-5 ASDU,252
24443912,TCP,46
24502496,IEC 60870-5 ASDU,292
24502497,IEC 60870-5 ASDU,252
24602497,IEC 60870-5 ASDU,292
24602498,IEC 60870-5 ASDU,252
24702259,IEC 60870-5 ASDU,292
24702260,IEC 60870-5 ASDU,252
24802019,IEC 60870-5 ASDU,292
24802019,IEC 60870-5 ASDU,252
24844576,TCP,46
24912635,IEC 60870-5 ASDU,292
24912636,IEC 60870-5 ASDU,252
25002248,IEC 60870-5 ASDU,292
25002248,IEC 60870-5 ASDU,252
25102215,IEC 60870-5 ASDU,292
25102216,IEC 60870-5 ASDU,252
25202135,IEC 60870-5 ASDU,292
25202136,IEC 60870-5 ASDU,252
25244277,TCP,46
25312261,IEC 60870-5 ASDU,292
25312263,IEC 60870-5 ASDU,252
25402335,IEC 60870-5 ASDU,292
25402336,IEC 60870-5 ASDU,252
25502247,IEC 60870-5 ASDU,292
25502248,IEC 60870-5 ASDU,252
25601947,IEC 60870-5 ASDU,292
25601948,IEC 60870-5 ASDU,252
25644483,TCP,46
25701737,IEC 60870-5 ASDU,292
25701738,IEC 60870-5 ASDU,252
25802215,IEC 60870-5 ASDU,292
25802215,IEC 60870-5 ASDU,252
25902089,IEC 60870-5 ASDU,292
25902109,IEC 60870-5 ASDU,252
26002208,IEC 60870-5 ASDU,292
26002209,IEC 60870-5 ASDU,252
26044207,TCP,46
26102158,IEC 60870-5 ASDU,292
26102158,IEC 60870-5 ASDU,252
26201954,IEC 60870-5 ASDU,292
26201955,IEC 60870-5 ASDU,252
26302150,IEC 60870-5 ASDU,292
26302151,IEC 60870-5 ASDU,252
26402053,IEC 60870-5 ASDU,292
26402055,IEC 60870-5 ASDU,252
26444412,TCP,46
26502004,IEC 60870-5 ASDU,292
26502005,IEC 60870-5 ASDU,252
25212245,IEC 60870-5 ASDU,292
25212247,IEC 60870-5 ASDU,252
26702226,IEC 60870-5 ASDU,292
26702227,IEC 60870-5 ASDU,252
26802146,IEC 60870-5 ASDU,292
